file_name,split,audio_path,transcript_source,method,speaker_id,writer_id,audio_clipping,background_noise_audible,quiet_speaker,overall_quality_of_the_audio,ground_truth_phrase,input_transcript,predicted_transcript,transcript_exact_match,transcript_similarity,transcript_word_overlap,ground_truth_prompt,predicted_clinical_label,clinical_label_exact_match,clinical_label_similarity,clinical_label_word_overlap,confidence,top_3_labels,actual_label_in_top_3,human_review_recommended,human_review_reason,chief_complaint,symptoms,body_parts,acuity,few_shot_example_count,few_shot_example_file_names,few_shot_example_labels,stt_model,extraction_model,chat_latency_seconds,stt_cost,chat_cost,stt_seconds_billed,stt_input_tokens,stt_output_tokens,chat_input_tokens,chat_output_tokens
1249120_13842059_25244471.wav,test,data/recordings/test/1249120_13842059_25244471.wav,asr,zero_shot,13842059,44140394,no_clipping,light_noise,audible_speaker,4,My upper back has been sore for a week.,My upper back has been sore for a week.,My upper back has been sore for a week.,True,1.0,1.0,Back pain,Back pain,True,1.0,1.0,0.95,Back pain | Muscle pain | Shoulder pain,True,False,auto_accept,Patient reports upper back soreness for one week.,soreness | upper back discomfort,upper back,low,0,,,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.6832,0.00011111111111111112,0.001511,10.0,,,,
1249120_13842059_25244471.wav,test,data/recordings/test/1249120_13842059_25244471.wav,asr,few_shot,13842059,44140394,no_clipping,light_noise,audible_speaker,4,My upper back has been sore for a week.,My upper back has been sore for a week.,My upper back has been sore for a week.,True,1.0,1.0,Back pain,Back pain,True,1.0,1.0,0.95,Back pain | Muscle pain | Shoulder pain,True,False,auto_accept,Upper back soreness for one week.,soreness | pain in upper back,upper back,low,4,1249120_44220382_30888646.wav | 1249120_44197979_47304903.wav | 1249120_44194084_90297861.wav | 1249120_44176037_51165744.wav,Stomach ache | Open wound | Back pain | Shoulder pain,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.3468,0.00011111111111111112,0.001654,10.0,,,,
1249120_14054543_78596230.wav,test,data/recordings/test/1249120_14054543_78596230.wav,asr,zero_shot,14054543,21665495,no_clipping,light_noise,audible_speaker,3.67,I have a pain in my stomach,Have a pain in my stomach.,Have a pain in my stomach.,False,0.9615,0.8571,Internal pain,Stomach ache,False,0.32,0.0,0.95,Stomach ache | Internal pain | Body feels weak,True,False,auto_accept,Patient reports pain in the stomach.,Stomach pain,Stomach,medium,0,,,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.3817,0.00011111111111111112,0.001482,10.0,,,,
1249120_14054543_78596230.wav,test,data/recordings/test/1249120_14054543_78596230.wav,asr,few_shot,14054543,21665495,no_clipping,light_noise,audible_speaker,3.67,I have a pain in my stomach,Have a pain in my stomach.,Have a pain in my stomach.,False,0.9615,0.8571,Internal pain,Stomach ache,False,0.32,0.0,0.85,Stomach ache | Internal pain | Body feels weak,True,False,auto_accept,Patient reports pain in the stomach.,stomach pain,stomach,medium,4,1249120_44197979_23991689.wav | 1249120_44176037_102837935.wav | 1249120_44246595_72677345.wav | 1249120_44220382_45758718.wav,Stomach ache | Head ache | Muscle pain | Internal pain,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.4731,0.00011111111111111112,0.001611,10.0,,,,
1249120_13842059_44664241.wav,test,data/recordings/test/1249120_13842059_44664241.wav,asr,zero_shot,13842059,42082009,no_clipping,light_noise,audible_speaker,3.4,I have a cut that has become red and oozes puss.,I have a cut that has become red and oozes pus.,I have a cut that has become red and oozes pus.,False,0.9892,0.8333,Infected wound,Infected wound,True,1.0,1.0,0.92,Infected wound | Open wound | Skin issue,True,False,auto_accept,"Patient has a cut that has become red and is oozing pus, suggesting infection.",redness | pus drainage | oozing,wound site,medium,0,,,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.6522,0.00011111111111111112,0.001575,10.0,,,,
1249120_13842059_44664241.wav,test,data/recordings/test/1249120_13842059_44664241.wav,asr,few_shot,13842059,42082009,no_clipping,light_noise,audible_speaker,3.4,I have a cut that has become red and oozes puss.,I have a cut that has become red and oozes pus.,I have a cut that has become red and oozes pus.,False,0.9892,0.8333,Infected wound,Infected wound,True,1.0,1.0,0.95,Infected wound | Open wound | Skin issue,True,False,auto_accept,Patient has a cut that has become red and is oozing pus.,redness | pus drainage | oozing,wound site,medium,4,1249120_44142156_95959757.wav | 1249120_44176037_73192675.wav | 1249120_44142156_61923550.wav | 1249120_44176037_55272412.wav,Infected wound | Acne | Skin issue | Stomach ache,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.4275,0.00011111111111111112,0.001726,10.0,,,,
1249120_13842059_98611758.wav,test,data/recordings/test/1249120_13842059_98611758.wav,asr,zero_shot,13842059,43913997,no_clipping,light_noise,audible_speaker,3.33,I fell a stiffness in my elbows and shoulders,I feel a stiffness in my elbows and shoulders,I feel a stiffness in my elbows and shoulders,False,0.9778,0.8,Joint pain,Shoulder pain,False,0.5217,0.3333,0.75,Shoulder pain | Joint pain | Muscle pain,True,False,auto_accept,Patient reports stiffness in elbows and shoulders.,stiffness,elbows | shoulders,low,0,,,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.3088,0.00011111111111111112,0.001518,10.0,,,,
1249120_13842059_98611758.wav,test,data/recordings/test/1249120_13842059_98611758.wav,asr,few_shot,13842059,43913997,no_clipping,light_noise,audible_speaker,3.33,I fell a stiffness in my elbows and shoulders,I feel a stiffness in my elbows and shoulders,I feel a stiffness in my elbows and shoulders,False,0.9778,0.8,Joint pain,Shoulder pain,False,0.5217,0.3333,0.75,Shoulder pain | Joint pain | Muscle pain,True,False,auto_accept,Patient reports stiffness in elbows and shoulders.,stiffness,elbows | shoulders,low,4,1249120_44246595_27538143.wav | 1249120_44220382_45758718.wav | 1249120_44176037_70263526.wav | 1249120_44220382_34886445.wav,Neck pain | Internal pain | Joint pain | Head ache,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.6253,0.00011111111111111112,0.001664,10.0,,,,
1249120_13842059_91420763.wav,test,data/recordings/test/1249120_13842059_91420763.wav,asr,zero_shot,13842059,43838565,no_clipping,light_noise,audible_speaker,4.33,i have a pain in my trapes,I have a paint in my traps.,I have a paint in my traps.,False,0.9615,0.5556,Muscle pain,Shoulder pain,False,0.6667,0.3333,0.75,Shoulder pain | Neck pain | Muscle pain,True,False,auto_accept,Patient reports pain in the trapezius muscles.,Pain in traps,Trapezius | Shoulder,low,0,,,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.2904,0.00011111111111111112,0.001524,10.0,,,,
1249120_13842059_91420763.wav,test,data/recordings/test/1249120_13842059_91420763.wav,asr,few_shot,13842059,43838565,no_clipping,light_noise,audible_speaker,4.33,i have a pain in my trapes,I have a paint in my traps.,I have a paint in my traps.,False,0.9615,0.5556,Muscle pain,Muscle pain,True,1.0,1.0,0.92,Muscle pain | Shoulder pain | Neck pain,True,False,auto_accept,Patient reports pain in the trapezius muscles.,pain in traps,trapezius | upper back,low,4,1249120_44246595_72677345.wav | 1249120_44176037_102837935.wav | 1249120_44160489_90541690.wav | 1249120_44220382_25011036.wav,Muscle pain | Head ache | Ear ache | Joint pain,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,2.8031,0.00011111111111111112,0.001662,10.0,,,,
1249120_13842059_72683703.wav,test,data/recordings/test/1249120_13842059_72683703.wav,asr,zero_shot,13842059,44130352,no_clipping,light_noise,audible_speaker,3.67,I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,I had a cold the last time I traveled by plane and I still have discomfort in my ears.,I had a cold the last time I traveled by plane and I still have discomfort in my ears.,False,0.9827,0.8889,Ear ache,Ear ache,True,1.0,1.0,0.85,Ear ache | Feeling cold | Internal pain,True,False,auto_accept,Patient reports ear discomfort persisting after a recent cold acquired during air travel.,Ear discomfort | Recent cold,Ears,low,0,,,openai/whisper-large-v3-turbo,anthropic/claude-haiku-4.5,1.471,0.00011111111111111112,0.001572,10.0,,,,
