ground_truth_label,Acne,Back pain,Blurry vision,Body feels weak,Cough,Ear ache,Emotional pain,Feeling cold,Feeling dizzy,Foot ache,Hair falling out,Hard to breath,Head ache,Heart hurts,Infected wound,Injury from sports,Internal pain,Joint pain,Knee pain,Muscle pain,Neck pain,Open wound,Shoulder pain,Skin issue,Stomach ache
Acne,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back pain,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blurry vision,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Body feels weak,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cough,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ear ache,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emotional pain,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling cold,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling dizzy,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foot ache,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair falling out,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard to breath,0,0,0,0,1,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0
Head ache,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0
Heart hurts,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Infected wound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,2,0,0,0
Injury from sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0
Internal pain,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,11,0,0,0,0,0,0,0,5
Joint pain,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,1,0,0
Knee pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,0,0
Muscle pain,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,9,1,0,4,0,0
Neck pain,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
Open wound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Shoulder pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0
Skin issue,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0
Stomach ache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
