file_name,split,audio_path,transcript_source,method,speaker_id,writer_id,audio_clipping,background_noise_audible,quiet_speaker,overall_quality_of_the_audio,ground_truth_phrase,input_transcript,predicted_transcript,transcript_exact_match,transcript_similarity,transcript_word_overlap,ground_truth_prompt,predicted_clinical_label,clinical_label_exact_match,clinical_label_similarity,clinical_label_word_overlap,confidence,top_3_labels,actual_label_in_top_3,human_review_recommended,human_review_reason,chief_complaint,symptoms,body_parts,acuity,few_shot_example_count,few_shot_example_file_names,few_shot_example_labels,stt_model,extraction_model,chat_latency_seconds,stt_cost,chat_cost,stt_seconds_billed,stt_input_tokens,stt_output_tokens,chat_input_tokens,chat_output_tokens
1249120_44259428_108958575.wav,validate,data/recordings/validate/1249120_44259428_108958575.wav,gold,zero_shot,44259428,21665495,no_clipping,light_noise,audible_speaker,3,I m feeling cold though the temperature is high,I m feeling cold though the temperature is high,,,,,Feeling cold,Feeling cold,True,1.0,1.0,0.85,Feeling cold | Body feels weak | Feeling dizzy,True,False,auto_accept,Patient reports feeling cold despite high ambient temperature.,Feeling cold | Temperature sensitivity mismatch,,low,0,,,,anthropic/claude-haiku-4.5,1.5552,,0.001509,,,,,
1249120_44259428_108958575.wav,validate,data/recordings/validate/1249120_44259428_108958575.wav,gold,few_shot,44259428,21665495,no_clipping,light_noise,audible_speaker,3,I m feeling cold though the temperature is high,I m feeling cold though the temperature is high,,,,,Feeling cold,Feeling cold,True,1.0,1.0,0.95,Feeling cold | Body feels weak | Feeling dizzy,True,False,auto_accept,Patient reports feeling cold despite high ambient temperature.,feeling cold | temperature sensitivity,,low,4,1249120_44142156_84118183.wav | 1249120_44246595_54009181.wav | 1249120_44220382_76831590.wav | 1249120_44194084_78425142.wav,Feeling cold | Stomach ache | Feeling dizzy | Heart hurts,,anthropic/claude-haiku-4.5,1.4272,,0.001647,,,,,
1249120_44246595_89680770.wav,validate,data/recordings/validate/1249120_44246595_89680770.wav,gold,zero_shot,44246595,43913997,no_clipping,no_noise,audible_speaker,4,I don't have the energy to do the things that I used to,I don't have the energy to do the things that I used to,,,,,Body feels weak,Body feels weak,True,1.0,1.0,0.85,Body feels weak | Emotional pain | Acne,True,False,auto_accept,Patient reports lack of energy and inability to perform usual activities.,Fatigue | Loss of energy | Inability to perform usual activities,,low,0,,,,anthropic/claude-haiku-4.5,1.7219,,0.001549,,,,,
1249120_44246595_89680770.wav,validate,data/recordings/validate/1249120_44246595_89680770.wav,gold,few_shot,44246595,43913997,no_clipping,no_noise,audible_speaker,4,I don't have the energy to do the things that I used to,I don't have the energy to do the things that I used to,,,,,Body feels weak,Body feels weak,True,1.0,1.0,0.85,Body feels weak | Emotional pain | Internal pain,True,False,auto_accept,Patient reports lack of energy and inability to perform usual activities.,lack of energy | fatigue | inability to perform usual activities,,low,4,1249120_44197979_76013119.wav | 1249120_44176037_93714115.wav | 1249120_44246595_49630911.wav | 1249120_44176037_87479535.wav,Skin issue | Muscle pain | Head ache | Shoulder pain,,anthropic/claude-haiku-4.5,1.4443,,0.001702,,,,,
1249120_44259428_106881229.wav,validate,data/recordings/validate/1249120_44259428_106881229.wav,gold,zero_shot,44259428,19638651,no_clipping,light_noise,audible_speaker,3.33,I walk every day but now I get short of breath after going only a short way.,I walk every day but now I get short of breath after going only a short way.,,,,,Hard to breath,Hard to breath,True,1.0,1.0,0.85,Hard to breath | Body feels weak | Internal pain,True,False,auto_accept,Patient experiences shortness of breath with minimal exertion during daily walks.,shortness of breath | dyspnea on exertion,lungs | respiratory system,medium,0,,,,anthropic/claude-haiku-4.5,1.689,,0.001588,,,,,
1249120_44259428_106881229.wav,validate,data/recordings/validate/1249120_44259428_106881229.wav,gold,few_shot,44259428,19638651,no_clipping,light_noise,audible_speaker,3.33,I walk every day but now I get short of breath after going only a short way.,I walk every day but now I get short of breath after going only a short way.,,,,,Hard to breath,Hard to breath,True,1.0,1.0,0.92,Hard to breath | Body feels weak | Feeling dizzy,True,False,auto_accept,Patient experiences shortness of breath with minimal exertion during daily walks.,shortness of breath | dyspnea on exertion | reduced exercise tolerance,lungs | respiratory system,medium,4,1249120_44220382_50020297.wav | 1249120_44220382_72437470.wav | 1249120_44142156_96389835.wav | 1249120_44197979_109954671.wav,Hard to breath | Foot ache | Knee pain | Body feels weak,,anthropic/claude-haiku-4.5,1.6642,,0.001817,,,,,
1249120_44246595_105657955.wav,validate,data/recordings/validate/1249120_44246595_105657955.wav,gold,zero_shot,44246595,44118742,no_clipping,no_noise,audible_speaker,3.67,I have a feeling like my whole body is complaining,I have a feeling like my whole body is complaining,,,,,Joint pain,Body feels weak,False,0.24,0.0,0.72,Body feels weak | Muscle pain | Internal pain,False,False,auto_accept,Patient reports generalized body discomfort and weakness affecting their entire body.,generalized body complaint | overall malaise | body discomfort,whole body,low,0,,,,anthropic/claude-haiku-4.5,1.8314,,0.001566,,,,,
1249120_44246595_105657955.wav,validate,data/recordings/validate/1249120_44246595_105657955.wav,gold,few_shot,44246595,44118742,no_clipping,no_noise,audible_speaker,3.67,I have a feeling like my whole body is complaining,I have a feeling like my whole body is complaining,,,,,Joint pain,Body feels weak,False,0.24,0.0,0.72,Body feels weak | Muscle pain | Internal pain,False,False,auto_accept,Patient reports a generalized sensation of bodily discomfort affecting the entire body.,whole body complaining | generalized malaise | systemic discomfort,whole body,low,4,1249120_44176037_39613511.wav | 1249120_44220382_25011036.wav | 1249120_44176037_102837935.wav | 1249120_44246595_72677345.wav,Heart hurts | Joint pain | Head ache | Muscle pain,,anthropic/claude-haiku-4.5,1.5809,,0.001737,,,,,
1249120_44246595_101823153.wav,validate,data/recordings/validate/1249120_44246595_101823153.wav,gold,zero_shot,44246595,40632132,no_clipping,no_noise,audible_speaker,4,I feel pain in my right shoulder after the tennis match.,I feel pain in my right shoulder after the tennis match.,,,,,Injury from sports,Shoulder pain,False,0.129,0.0,0.95,Shoulder pain | Injury from sports | Muscle pain,True,False,auto_accept,Right shoulder pain following tennis match.,pain in right shoulder | post-activity onset,right shoulder,low,0,,,,anthropic/claude-haiku-4.5,1.6424,,0.001517,,,,,
1249120_44246595_101823153.wav,validate,data/recordings/validate/1249120_44246595_101823153.wav,gold,few_shot,44246595,40632132,no_clipping,no_noise,audible_speaker,4,I feel pain in my right shoulder after the tennis match.,I feel pain in my right shoulder after the tennis match.,,,,,Injury from sports,Shoulder pain,False,0.129,0.0,0.95,Shoulder pain | Injury from sports | Muscle pain,True,False,auto_accept,Right shoulder pain following tennis match.,shoulder pain | post-activity pain,right shoulder,low,4,1249120_44160489_16357195.wav | 1249120_44160489_24871058.wav | 1249120_44160489_53189650.wav | 1249120_44246595_25466020.wav,Joint pain | Cough | Back pain | Internal pain,,anthropic/claude-haiku-4.5,1.7712,,0.00165,,,,,
